          Alpha         Energy     Derivative
     0.46535980      120.00114     -49.840295
     0.51520009      122.20172      17.662629
     0.49753746      121.32720     -11.089768
     0.50862723      121.87905      15.446431
     0.49318080      120.96209     -10.293614
     0.50347441      121.69363      1.4459012
     0.50202851      121.69941    -0.61904276
