          Alpha         Energy     Derivative
     0.35203498      5.0241061     -3.6849593
     0.38888457      4.9248703     -1.8199146
     0.40708371      5.0176813     -2.0572108
     0.42765582      3.9124385     -8.0775833
     0.50843166      4.6070306     0.45671053
     0.50386455      4.8116970    0.027781891
     0.50358673      4.8135526    0.019539683
