           Bins        Counter
      0.0000000          77735
     0.16666667          39091
     0.33333333          18592
     0.50000000           7602
     0.66666667           3800
     0.83333333           1479
      1.0000000            555
      1.1666667            159
      1.3333333             61
      1.5000000            130
      1.6666667              4
      1.8333333             21
