           Bins        Counter
      0.0000000          32302
     0.16666667          16330
     0.33333333           7019
     0.50000000           2652
     0.66666667           1020
     0.83333333            613
      1.0000000            230
      1.1666667             48
      1.3333333              0
      1.5000000              0
      1.6666667              0
      1.8333333              0
